pred_xmin,pred_ymin,pred_xMax,pred_yMax,pred_length,pred_width,pred_height,pred_theta,pred_sin_theta,pred_cos_theta,filename,class,gt_xmin,gt_ymin,gt_xMax,gt_yMax,gt_length,gt_width,gt_height,gt_theta,gt_sin_theta,gt_cos_theta
906,730,1056,852,4.104,1.692,1.549,-1.568,-0.015,-2.673,2017_0713_141736_077_001192,car,901,739,1048,838,4.21803,1.63118,1.39438,1.41432,0.9877825386743212,0.15583855841900338
736,739,819,814,3.935,1.389,1.457,-1.56,-0.036,-1.656,2017_0713_141736_077_001192,car,729,737,818,810,4.16081,1.82882,1.57803,1.55846,0.9999239084856107,0.012336013896713441
821,740,883,793,4.108,1.708,1.56,-1.56,-0.043,-1.931,2017_0713_141736_077_001192,car,837,739,897,787,4.09005,1.66238,1.51966,1.56136,0.999955478198679,0.009436186753725288
75,623,180,694,4.244,1.604,1.475,-1.356,-0.785,-1.712,2017_0710_135547_057_000534,car,77,624,186,689,4.22284,1.59333,1.83159,-1.14897,-0.9123427140952153,0.40942737089424813
637,658,677,695,0.392,0.492,1.729,0.665,0.303,0.074,2017_0710_135547_057_000534,car,638,657,681,694,4.18344,1.54341,1.5751,1.49667,0.9972539016018737,0.07405846163565971
174,637,262,690,4.032,1.539,1.624,-1.219,-0.896,-1.058,2017_0710_135547_057_000534,car,143,629,246,694,4.0713,1.48684,1.57929,-1.2176,-0.9382719027148206,0.34589859290825414
482,651,513,674,2.804,1.667,1.218,1.345,0.32,-0.66,2017_0710_135547_057_000534,car,482,653,508,674,2.07011,2.23623,1.32881,-0.394379,-0.38423493377971085,0.9232353522603547
295,644,374,697,4.162,1.607,1.597,-1.282,-0.79,-1.21,2017_0710_135547_057_000534,tricyclist,312,643,384,687,4.08564,1.54654,1.65253,-1.26551,-0.9537609314868818,0.30056627483680787
855,635,1092,794,3.36,1.235,1.457,1.543,0.071,-1.276,2017_0710_135547_057_000570,car,888,636,1180,814,4.29811,1.54509,1.40158,1.30507,0.9649020146112086,0.26261017154564087
517,613,751,827,4.266,1.578,1.455,1.378,0.499,-1.231,2017_0710_135547_057_000570,car,536,631,753,814,4.17914,1.64349,1.45691,-1.51369,-0.9983698767962293,0.05707529330526284
497,641,571,685,0.376,0.45,1.625,1.499,0.2,-1.393,2017_0710_135547_057_000570,car,499,647,586,686,3.64155,1.36012,1.60681,-0.293439,-0.2892459283601705,0.9572548213130415
833,649,976,754,0.516,0.466,1.619,0.98,0.752,-0.308,2017_0710_135547_057_000570,car,835,649,968,750,4.23348,1.49098,1.38003,1.47873,0.9957648884775263,0.09193631967475976
174,596,451,793,0.406,0.468,1.601,1.542,0.072,-1.229,2017_0710_135547_057_000570,car,221,607,469,799,4.36785,1.66447,1.75102,-1.33036,-0.9712341663680121,0.2381264245719752
1346,586,1410,718,4.02,1.432,1.441,-1.399,-0.264,-0.738,2017_0710_135547_057_000570,pedestrian,1361,598,1426,722,0.601062,0.560851,1.79859,1.48389,0.9962260213924975,0.08679697172410498
70,626,109,688,0.453,0.473,1.671,1.279,0.761,-1.152,2017_0710_135547_057_000570,pedestrian,70,624,111,688,0.458271,0.470366,1.53749,1.55956,0.9999368731442569,0.011236090355907953
1303,598,1362,721,4.005,1.533,1.443,1.365,0.538,-1.234,2017_0710_135547_057_000570,pedestrian,1302,593,1360,729,0.505304,0.463163,1.76018,1.50317,0.9977142112982971,0.0675747924407995
566,660,703,781,4.262,1.665,1.523,-1.531,-0.168,-2.079,2017_0710_135547_057_000155,car,579,680,707,787,4.23899,1.70413,1.45514,1.51751,0.998580619588961,0.05326111321899594
425,657,570,785,4.23,1.664,1.552,-1.546,-0.089,-1.787,2017_0710_135547_057_000155,car,424,672,542,780,4.22969,1.61598,1.58838,-1.49058,-0.9967843952893375,0.0801303270158675
133,462,496,908,4.036,1.577,1.436,-1.537,-0.12,-1.787,2017_0710_135547_057_000155,truck,140,463,516,865,6.3934,2.00505,2.55836,-1.42792,-0.9898105290140757,0.1423907182820406
1107,634,1191,760,6.749,2.212,2.714,-1.522,-0.239,-2.425,2017_0710_135547_057_000155,pedestrian,1106,641,1176,771,0.470284,0.561085,1.70552,1.25405,0.950253888582668,0.3114763991597412
983,513,1039,620,1.242,0.538,1.486,1.492,0.102,-0.639,2017_0715_174605_079_002136,pedestrian,985,505,1045,613,0.520779,0.584874,1.73202,1.39248,0.9841437254635962,0.1773728491924114
423,643,555,755,4.262,1.589,1.469,-1.567,-0.014,-2.12,2017_0710_135547_057_000362,car,416,644,552,752,3.92354,1.36647,1.37155,-1.40641,-0.9865189668544186,0.16364696158649128
502,621,758,861,2.975,1.117,1.483,1.543,0.103,-1.888,2017_0710_135547_057_000362,car,490,635,768,861,4.24401,1.65694,1.4825,-1.54361,-0.9996304745781163,0.0271829780327685
808,639,987,772,1.672,0.461,1.536,1.355,0.904,-1.967,2017_0710_135547_057_000362,car,809,641,975,771,4.09588,1.73257,1.54416,1.42927,0.9900018544606599,0.14105434472023345
1012,631,1092,805,5.424,1.82,1.88,1.562,0.027,-1.63,2017_0710_135547_057_000362,cyclist,1013,641,1091,812,1.75691,0.568359,1.54508,1.41261,0.9875146106821868,0.15752743789324103
728,639,790,749,4.221,1.58,1.455,-1.57,-0.002,-1.755,2017_0710_135547_057_000362,cyclist,730,644,784,761,1.57627,0.571374,1.52468,1.47466,0.995382461327978,0.09598831012501692
179,680,300,748,2.31,0.966,1.55,1.56,0.037,-1.689,2017_0713_141736_077_000817,car,172,695,287,762,4.09156,1.67935,1.6987,-1.15173,-0.9134692572754876,0.4069077487743003
705,718,759,769,4.386,1.652,1.79,1.532,0.156,-2.01,2017_0713_141736_077_000817,car,715,721,763,761,3.63432,1.59648,1.43179,-1.46704,-0.9946221394802898,0.10357026434093397
900,706,965,762,10.878,2.554,2.871,1.364,0.57,-1.3,2017_0713_141736_077_000817,car,902,715,965,764,4.0708,1.85132,1.40424,1.50339,0.9977290536078303,0.0673552936807744
7,589,181,783,4.107,1.532,1.563,1.509,0.317,-2.568,2017_0713_141736_077_000817,bus,2,633,268,770,11.6508,2.67099,3.32603,-1.11527,-0.898029602980052,0.4399350317620662
777,717,804,776,9.813,2.536,2.953,1.317,0.433,-0.777,2017_0713_141736_077_000817,cyclist,769,712,799,786,1.25575,0.643752,1.55462,-1.51448,-0.9984146547319466,0.05628656337428861
832,719,857,761,3.98,1.54,1.679,1.568,0.017,-2.672,2017_0713_141736_077_000817,cyclist,839,725,859,763,1.72042,0.585583,1.61895,1.56607,0.9999888309383053,0.00472630919867159
897,705,959,766,4.324,1.492,1.625,1.518,0.195,-1.852,2017_0713_141736_077_000817,tricyclist,898,693,966,760,4.17379,1.87484,1.94501,1.48296,0.9961448694025181,0.0877234242550986
